t_us,dt_us,ax,ay,az,ppg
8946811,10024,-1.217285,-0.023315,0.586304,555
8956793,9982,-1.250977,-0.022949,0.584473,552
8966797,10004,-1.263550,-0.035156,0.574219,561
8976787,9990,-1.270264,-0.046875,0.562622,565
8986793,10006,-1.298950,-0.063477,0.588501,566
8996787,9994,-1.320679,-0.058716,0.597534,563
9006789,10002,-1.328613,-0.065552,0.580444,563
9016799,10010,-1.328857,-0.081299,0.560425,564
9026815,10016,-1.318970,-0.106079,0.526978,559
9036801,9986,-1.303345,-0.151733,0.457275,557
9046788,9987,-1.325073,-0.176636,0.447510,545
9056790,10002,-1.340332,-0.109619,0.436157,546
9066807,10017,-1.368286,-0.148926,0.432495,550
9076789,9982,-1.379028,-0.160156,0.434937,530
9086797,10008,-1.387451,-0.145752,0.433716,549
9096808,10011,-1.364624,-0.103760,0.434326,549
9108932,12124,-1.338501,-0.109253,0.432617,557
9116804,7872,-1.299561,-0.113159,0.429932,556
9126802,9998,-1.256714,-0.118286,0.418701,557
9136794,9992,-1.204468,-0.126465,0.409790,545
9146791,9997,-1.097290,-0.154785,0.374023,539
9156814,10023,-1.050415,-0.158813,0.354248,544
9166808,9994,-1.003784,-0.153809,0.334839,535
9176813,10005,-0.959717,-0.146484,0.316284,526
9186810,9997,-0.919556,-0.142212,0.297485,517
9199301,12491,-0.847900,-0.134155,0.261475,508
9206807,7506,-0.812134,-0.127197,0.242676,501
9216810,10003,-0.779053,-0.121094,0.222046,487
9226791,9981,-0.750854,-0.115356,0.204468,477
9236812,10021,-0.723022,-0.112305,0.190186,483
9246808,9996,-0.699463,-0.109863,0.176758,481
9256802,9994,-0.660645,-0.094238,0.158569,481
9266794,9992,-0.645752,-0.082031,0.153809,478
9276802,10008,-0.633179,-0.071899,0.149292,481
9286790,9988,-0.620728,-0.064575,0.148193,484
9296813,10023,-0.611328,-0.058350,0.148926,485
9306793,9980,-0.604248,-0.053833,0.163452,487
9316806,10013,-0.604126,-0.047974,0.176880,492
9326810,10004,-0.612549,-0.045654,0.191528,499
9336816,10006,-0.631836,-0.044556,0.209595,506
9346791,9975,-0.659546,-0.041626,0.228516,502
9356816,10025,-0.682251,-0.039307,0.242310,509
9366810,9994,-0.723145,-0.041504,0.262939,513
9376787,9977,-0.744995,-0.047852,0.268677,509
9386789,10002,-0.775146,-0.063110,0.272339,504
9396790,10001,-0.814209,-0.079102,0.275269,506
9406802,10012,-0.859985,-0.098511,0.278320,503
9416812,10010,-0.908203,-0.128784,0.303101,498
9426791,9979,-1.013184,-0.137329,0.330811,500
9436810,10019,-1.071411,-0.143066,0.364014,504
9446811,10001,-1.127808,-0.148560,0.408447,506
9456805,9994,-1.176758,-0.141724,0.458008,509
9466787,9982,-1.225342,-0.133301,0.501709,514
9476816,10029,-1.301636,-0.112183,0.578125,511
9486837,10021,-1.324097,-0.096558,0.618896,516
9496796,9959,-1.332275,-0.075317,0.649048,524
9506800,10004,-1.327026,-0.050659,0.666260,520
9516804,10004,-1.314209,-0.031006,0.681152,523
9526796,9992,-1.301392,-0.025513,0.711182,522
9536794,9998,-1.312866,-0.058594,0.709473,522
9546800,10006,-1.317261,-0.130249,0.695557,523
9556813,10013,-1.295166,-0.234985,0.648315,526
9566810,9997,-1.257080,-0.368408,0.637085,531
9576793,9983,-1.223267,-0.442505,0.657349,538
9586816,10023,-1.182007,-0.409424,0.715698,548
9596815,9999,-1.158447,-0.351074,0.725586,550
9606815,10000,-1.146606,-0.280640,0.715210,552
9616810,9995,-1.149048,-0.209961,0.693848,564
9626809,9999,-1.155884,-0.130005,0.662598,572
9636809,10000,-1.155884,0.013306,0.604492,574
9646787,9978,-1.151489,0.042969,0.588013,575
9656802,10015,-1.129150,0.028931,0.590088,573
9666817,10015,-1.092163,0.002319,0.587646,568
9676808,9991,-1.045044,-0.020142,0.580322,554
9686792,9984,-0.993286,-0.032471,0.564575,550
9696790,9998,-0.891479,-0.041626,0.524292,539
9706839,10049,-0.848511,-0.036377,0.514404,516
9716812,9973,-0.810547,-0.026611,0.502930,515
9726789,9977,-0.774292,-0.018066,0.492798,504
9736791,10002,-0.745605,-0.001465,0.491333,489
9746788,9997,-0.721924,0.035034,0.509888,489
9756803,10015,-0.721191,0.041138,0.528809,481
9766802,9999,-0.724731,0.042969,0.545898,486
9776807,10005,-0.731079,0.039063,0.562988,489
9786813,10006,-0.739502,0.026611,0.581299,488
9796815,10002,-0.751587,0.015747,0.608643,489
9806816,10001,-0.774414,0.000122,0.653442,493
9816796,9980,-0.783813,-0.009644,0.677856,494
9826809,10013,-0.798218,-0.016846,0.683716,499
9836806,9997,-0.809082,-0.017700,0.672485,506
9846789,9983,-0.815430,-0.013428,0.653809,513
9856796,10007,-0.841431,0.001709,0.622925,523
9866803,10007,-0.851685,-0.003174,0.611450,536
9876787,9984,-0.883667,0.028564,0.620728,545
9886806,10019,-0.915161,0.061890,0.602173,559
9896795,9989,-0.864136,0.781738,0.369385,566
9906801,10006,-1.488647,1.263916,0.265503,570
9916787,9986,-0.947754,0.038452,0.427612,578
9926810,10023,-1.044678,0.130127,0.640625,582
9936812,10002,-1.090332,-0.061523,0.616943,587
9946813,10001,-1.113892,-0.183105,0.602539,592
9956788,9975,-1.177856,-0.193359,0.588257,596
9966808,10020,-1.193237,0.047974,0.472778,589
9976816,10008,-1.265625,0.106689,0.430054,571
9986798,9982,-1.258179,0.077393,0.444214,543
9996794,9996,-1.162720,-0.027344,0.442993,530
10006811,10017,-1.161133,-0.164307,0.437866,478
10016799,9988,-1.199585,-0.180054,0.430054,477
10026807,10008,-1.227783,-0.084351,0.380859,503
10036794,9987,-1.312744,-0.030762,0.358521,522
10046789,9995,-1.334106,-0.111572,0.360840,582
10056817,10028,-1.341919,-0.191650,0.374390,575
10066804,9987,-1.349365,-0.206055,0.375732,572
10076793,9989,-1.414551,-0.114746,0.391724,550
10086800,10007,-1.401733,-0.100464,0.388306,522
10096789,9989,-1.360596,-0.130859,0.388672,503
10106803,10014,-1.314941,-0.180664,0.384644,486
10116818,10015,-1.267700,-0.202271,0.367798,478
10126799,9981,-1.219604,-0.158813,0.325684,468
10136816,10017,-1.121094,-0.151245,0.308594,458
10146797,9981,-1.069336,-0.152832,0.294922,457
10156806,10009,-1.013550,-0.154541,0.285645,453
10166789,9983,-0.962769,-0.143921,0.279175,449
10176796,10007,-0.917480,-0.123901,0.268799,451
10186813,10017,-0.845337,-0.085205,0.250244,461
10196787,9974,-0.814697,-0.076904,0.236572,459
10206793,10006,-0.791016,-0.070557,0.217407,470
10216812,10019,-0.773926,-0.056763,0.204956,477
10226788,9976,-0.756714,-0.035034,0.192261,485
10236787,9999,-0.743652,0.017700,0.175049,493
10246802,10015,-0.719604,0.042480,0.170776,505
10256800,9998,-0.709595,0.068604,0.175903,515
10266790,9990,-0.703247,0.088623,0.186523,518
10276804,10014,-0.707031,0.104614,0.201660,530
10286787,9983,-0.712036,0.115234,0.218506,536
10296815,10028,-0.707520,0.112305,0.243408,538
10306810,9995,-0.694458,0.101074,0.242920,535
10316789,9979,-0.688721,0.082520,0.239624,541
10326794,10005,-0.699951,0.068970,0.227905,538
10336807,10013,-0.720703,0.054199,0.215088,533
10346803,9996,-0.793823,0.003662,0.204590,533
10356809,10006,-0.844482,-0.023804,0.203003,524
10366797,9988,-0.897339,-0.055298,0.214233,529
10376791,9994,-0.946777,-0.079834,0.235962,524
10386816,10025,-0.987305,-0.090332,0.253418,514
10396794,9978,-1.007446,-0.089844,0.265137,520
10406815,10021,-1.054565,-0.082520,0.282104,517
10416805,9990,-1.086060,-0.079346,0.289917,516
10426789,9984,-1.112427,-0.077637,0.311035,514
10436805,10016,-1.138550,-0.078125,0.335938,516
10446788,9983,-1.150513,-0.074341,0.370850,516
10456792,10004,-1.166748,-0.034912,0.435425,523
10466801,10009,-1.179321,-0.005005,0.466553,524
10476810,10009,-1.200317,0.029053,0.498535,524
10486792,9982,-1.222168,0.067261,0.524292,520
10496791,9999,-1.245239,0.106689,0.553833,525
10506807,10016,-1.259399,0.148071,0.587891,525
10516797,9990,-1.309692,0.221436,0.657349,518
10526807,10010,-1.328125,0.232178,0.686523,522
10536818,10011,-1.341187,0.229248,0.714233,519
10546835,10017,-1.346680,0.203003,0.736938,512
10556796,9961,-1.339478,0.145752,0.747559,508
10566788,9992,-1.294434,0.003418,0.725464,507
10576800,10012,-1.260132,-0.062134,0.696533,500
10586803,10003,-1.223145,-0.143188,0.652466,505
10596795,9992,-1.167725,-0.232544,0.600830,501
10606797,10002,-1.119263,-0.291260,0.587891,505
10616793,9996,-1.082031,-0.298462,0.585937,502
10626801,10008,-1.014648,-0.199463,0.588501,507
10636813,10012,-0.985229,-0.135132,0.586670,503
10646795,9982,-0.955078,-0.074097,0.576294,508
10656791,9996,-0.921753,-0.026001,0.573853,509
10666810,10019,-0.892212,0.016602,0.574829,503
10676812,10002,-0.841919,0.099609,0.585327,506
10686809,9997,-0.818848,0.129272,0.585205,503
10696795,9986,-0.799683,0.143921,0.582153,499
10706789,9994,-0.784790,0.142212,0.571533,493
10716798,10009,-0.772949,0.130127,0.559326,489
10726788,9990,-0.762573,0.110718,0.550293,495
10736806,10018,-0.754761,0.057983,0.548096,496
10746790,9984,-0.758911,0.028809,0.559082,498
10756797,10007,-0.764648,0.003784,0.572144,498
10766811,10014,-0.775146,-0.015259,0.586548,499
10776807,9996,-0.782959,-0.027344,0.603638,504
10786815,10008,-0.808716,-0.035278,0.601929,503
10796788,9973,-0.827881,-0.040649,0.594116,511
10806809,10021,-0.851807,-0.039063,0.585327,515
10816813,10004,-0.877197,-0.027222,0.576416,518
10826789,9976,-0.897461,-0.013550,0.574707,524
10836794,10005,-0.927612,0.029541,0.591064,540
10846791,9997,-0.981934,0.022461,0.605347,541
10856808,10017,-1.003296,0.025146,0.608643,557
10866801,9993,-1.020996,-0.003540,0.600586,564
10876809,10008,-1.051025,0.053223,0.609985,572
10886810,10001,-1.020630,-0.019531,0.570557,580
10896816,10006,-1.105591,0.034058,0.568237,582
10906808,9992,-1.095581,0.026855,0.543823,580
10916789,9981,-1.097900,0.042969,0.524414,588
10926815,10026,-1.116821,0.024902,0.518188,586
10936800,9985,-1.135742,0.006714,0.511230,585
10946801,10001,-1.159424,-0.009399,0.473877,577
10956814,10013,-1.259155,-0.011719,0.462158,577
10966791,9977,-1.315918,-0.028320,0.462158,571
10976789,9998,-1.365967,-0.026489,0.467285,565
10986818,10029,-1.389648,-0.037476,0.463257,557
10996817,9999,-1.410889,-0.041504,0.460083,561
11006805,9988,-1.386841,-0.076172,0.439087,557
11016812,10007,-1.357178,-0.104492,0.424927,560
11026814,10002,-1.366821,-0.119141,0.428223,560
11036803,9989,-1.368042,-0.121948,0.423706,557
11046808,10005,-1.347412,-0.132080,0.418945,555
11056812,10004,-1.297729,-0.132568,0.410522,556
11066800,9988,-1.289063,-0.130127,0.396484,552
11076804,10004,-1.264160,-0.129395,0.380127,548
11086791,9987,-1.233398,-0.129517,0.362793,542
11096799,10008,-1.193970,-0.126221,0.342773,536
11106804,10005,-1.149536,-0.126465,0.323853,526
11116795,9991,-1.050903,-0.116211,0.296021,514
11126791,9996,-1.010498,-0.103027,0.282227,506
11136810,10019,-0.967407,-0.087036,0.265259,501
11146803,9993,-0.928711,-0.074463,0.250610,498
11156805,10002,-0.890381,-0.064941,0.234619,490
11166789,9984,-0.835815,-0.043823,0.205566,480
11176788,9999,-0.828613,-0.037720,0.198975,480
11186790,10002,-0.828613,-0.031738,0.200073,482
11196837,10047,-0.820679,-0.018555,0.203247,488
11206807,9970,-0.811768,-0.003784,0.203613,493
11216797,9990,-0.802979,0.004272,0.206787,489
11226813,10016,-0.789795,0.006592,0.203247,492
11236800,9987,-0.781616,0.003662,0.198364,503
11246803,10003,-0.764038,0.004028,0.188232,506
11256800,9997,-0.735718,0.002808,0.180420,509
11266813,10013,-0.711792,-0.003296,0.175659,512
11276802,9989,-0.709229,-0.026978,0.172485,506
11286811,10009,-0.718994,-0.037354,0.173706,514
11296788,9977,-0.730347,-0.042847,0.176880,513
11306809,10021,-0.750610,-0.048340,0.180054,513
11316800,9991,-0.782349,-0.046509,0.180298,511
11326790,9990,-0.817993,-0.044067,0.187378,510
11336789,9999,-0.866333,-0.033447,0.214233,508
11346806,10017,-0.870605,-0.030273,0.226929,509
11356792,9986,-0.873535,-0.031860,0.242920,509
11366789,9997,-0.917969,-0.030640,0.273071,508
11376791,10002,-0.933594,-0.044067,0.301147,510
11386796,10005,-0.952271,-0.016602,0.342041,509
11396853,10057,-0.958008,0.000610,0.360352,512
11406826,9973,-0.967896,0.008667,0.381592,508
11416791,9965,-0.981812,0.007568,0.405884,517
11426812,10021,-0.998657,0.004639,0.425781,517
11436806,9994,-1.027100,-0.005615,0.440186,524
11446801,9995,-1.133789,-0.012817,0.492187,519
11456810,10009,-1.195068,-0.000732,0.527832,531
11466801,9991,-1.259033,0.005127,0.574829,538
11476788,9987,-1.332031,0.016235,0.616821,542
11486814,10026,-1.386597,0.057983,0.650146,540
11496799,9985,-1.477417,0.131470,0.752563,541
11506816,10017,-1.499023,0.123291,0.791748,547
11516788,9972,-1.512817,0.095825,0.819946,549
11526813,10025,-1.510986,0.027344,0.829590,548
11536802,9989,-1.483765,-0.039429,0.813232,550
11546795,9993,-1.446167,-0.131836,0.746582,554
11556788,9993,-1.327515,-0.340454,0.682617,556
11566797,10009,-1.230103,-0.455078,0.651489,560
11576798,10001,-1.167480,-0.480835,0.666748,565
11586788,9990,-1.119385,-0.450073,0.681030,563
11596797,10009,-1.057129,-0.365234,0.691650,568
11606794,9997,-0.948853,-0.150146,0.674316,571
11616851,10057,-0.903442,-0.046509,0.644165,558
11626829,9978,-0.865845,0.051270,0.618774,560
11636796,9967,-0.839478,0.131104,0.604370,552
11646806,10010,-0.830322,0.193726,0.596436,544
11656800,9994,-0.827515,0.228760,0.599121,526
11666794,9994,-0.820435,0.202271,0.586304,519
11676798,10004,-0.817749,0.160278,0.583374,508
11686808,10010,-0.814575,0.125610,0.585327,488
11696801,9993,-0.811523,0.103149,0.587158,487
11706789,9988,-0.803833,0.084717,0.585571,485
11716790,10001,-0.777832,0.040894,0.578735,475
11726789,9999,-0.762939,0.027832,0.576904,480
11736811,10022,-0.753784,0.025391,0.578369,484
11746791,9980,-0.750732,0.030273,0.585327,488
11756812,10021,-0.748657,0.036133,0.592529,492
11766799,9987,-0.745117,0.031250,0.598633,497
11776796,9997,-0.757812,0.014282,0.591919,508
11786796,10000,-0.785645,0.001587,0.586914,514
11796810,10014,-0.826538,0.004395,0.586548,515
11806798,9988,-0.866577,0.017334,0.588379,527
11816807,10009,-0.962646,0.072754,0.625610,529
11826803,9996,-0.941284,0.073975,0.581543,532
11836808,10005,-0.980591,0.090088,0.583984,545
11846841,10033,-0.994873,0.085449,0.567749,548
11856801,9960,-1.015991,0.071777,0.546509,548
11866788,9987,-1.036377,0.023071,0.527100,553
11876789,10001,-1.086426,-0.045776,0.500977,558
11886793,10004,-1.126099,-0.055908,0.496582,558
11896790,9997,-1.160645,-0.042236,0.493896,567
11906808,10018,-1.197144,-0.023560,0.489136,567
11916806,9998,-1.232666,-0.015381,0.477539,570
11926808,10002,-1.267334,-0.012695,0.470093,565
11936801,9993,-1.350464,-0.011963,0.468018,570
11946803,10002,-1.389404,-0.001709,0.467407,570
11956791,9988,-1.412354,-0.003784,0.462158,571
11966816,10025,-1.430054,-0.019653,0.460693,568
11976803,9987,-1.440186,-0.039795,0.449707,562
11986795,9992,-1.444458,-0.073120,0.422241,559
11996788,9993,-1.441040,-0.077393,0.411743,555
12006787,9999,-1.427246,-0.084229,0.404785,551
12016792,10005,-1.400757,-0.092773,0.396240,548
12026791,9999,-1.355835,-0.104858,0.383545,547
12036787,9996,-1.297974,-0.109985,0.363647,540
12046796,10009,-1.190918,-0.112793,0.335327,541
12056788,9992,-1.139160,-0.117065,0.314819,537
12066797,10009,-1.083252,-0.126587,0.297241,531
12076814,10017,-1.030884,-0.123535,0.282715,522
12086803,9989,-0.982544,-0.112061,0.267456,519
12096787,9984,-0.884399,-0.075439,0.224609,518
12106791,10004,-0.842773,-0.063110,0.203491,513
12116794,10003,-0.806885,-0.061401,0.183716,508
12126811,10017,-0.775269,-0.055298,0.167847,503
12136808,9997,-0.761841,-0.042114,0.159424,494
12146793,9985,-0.752075,-0.020386,0.151855,497
12156798,10005,-0.742554,0.027832,0.162598,497
12166799,10001,-0.719116,0.051636,0.173096,490
12176806,10007,-0.694946,0.070557,0.182861,498
12186801,9995,-0.684082,0.078857,0.189941,502
12196793,9992,-0.687866,0.083374,0.206787,503
12206791,9998,-0.689697,0.079468,0.230713,503
12216806,10015,-0.679932,0.076782,0.235840,504
12226803,9997,-0.667725,0.062866,0.234253,497
12236801,9998,-0.659546,0.042114,0.231934,504
12246805,10004,-0.670288,0.020508,0.222534,495
12256804,9999,-0.692627,-0.003174,0.210937,502
12266796,9992,-0.756958,-0.044067,0.200928,504
12276825,10029,-0.798462,-0.061157,0.211304,504
12286805,9980,-0.844482,-0.072754,0.230713,508
12296789,9984,-0.884888,-0.077271,0.261353,506
12306796,10007,-0.916016,-0.078857,0.293091,514
12316787,9991,-0.989624,-0.049072,0.382324,520
12326813,10026,-1.018799,-0.012573,0.425171,526
12336806,9993,-1.035156,0.021729,0.468506,530
12346813,10007,-1.041504,0.050659,0.504395,528
12356810,9997,-1.047241,0.088623,0.543457,530
12366792,9982,-1.043701,0.118652,0.589478,529
12376791,9999,-1.033447,0.151001,0.605225,528
12386801,10010,-1.036743,0.154053,0.612183,527
12396797,9996,-1.053223,0.152344,0.617676,522
12406801,10004,-1.089722,0.137817,0.628052,525
12416815,10014,-1.124023,0.127075,0.637451,520
12426793,9978,-1.193237,0.105835,0.663452,528
12436802,10009,-1.215698,0.099121,0.670410,531
12446805,10003,-1.237305,0.081299,0.675659,533
12456801,9996,-1.257324,0.066528,0.678833,536
12468544,11743,-1.306396,0.019043,0.658936,533
12476809,8265,0.000000,0.000000,0.000000,538
12486789,9980,-1.280396,-0.015503,0.642090,548
12496827,10038,-1.274048,-0.039307,0.630371,553
12506787,9960,-1.246582,-0.043823,0.611694,556
12516792,10005,-1.218262,-0.067627,0.606445,552
12526791,9999,-1.189575,-0.084961,0.593018,562
12536789,9998,-1.086426,-0.177734,0.550659,561
12546794,10005,-1.036499,-0.195801,0.553833,559
12556788,9994,-0.985107,-0.157715,0.559326,553
12566815,10027,-0.936890,-0.085815,0.559814,544
12576814,9999,-0.895020,-0.001709,0.551025,533
12586813,9999,-0.836182,0.097778,0.530273,515
12596811,9998,-0.822876,0.109009,0.517334,511
12606815,10004,-0.807373,0.109619,0.511108,499
12616815,10000,-0.804199,0.114136,0.512695,484
12626795,9980,-0.800049,0.111328,0.504028,474
12636789,9994,-0.793335,0.108154,0.500122,469
12646789,10000,-0.794678,0.092285,0.482910,474
12656796,10007,-0.800659,0.078491,0.476196,471
12666809,10013,-0.804565,0.061523,0.471436,472
12676793,9984,-0.812866,0.051880,0.474243,483
12686803,10010,-0.817871,0.050171,0.483643,497
12696825,10022,-0.815552,0.049683,0.493774,506
12706805,9980,-0.810791,0.029297,0.495239,521
12716802,9997,-0.808350,0.012695,0.495850,532
12726809,10007,-0.801392,0.005127,0.490356,545
12736794,9985,-0.797363,-0.000977,0.485229,551
12746816,10022,-0.800171,-0.002686,0.480103,561
12756814,9998,-0.865112,-0.003540,0.477661,559
12766801,9987,-0.928589,0.006104,0.481079,569
12776791,9990,-0.985229,0.024048,0.490601,564
12786811,10020,-1.030151,0.043457,0.499390,571
12796802,9991,-1.063721,0.061035,0.505493,571
12806815,10013,-1.109131,0.078857,0.514282,573
12816813,9998,-1.121582,0.076050,0.510986,569
12826814,10001,-1.122559,0.065918,0.504883,559
12836814,10000,-1.113770,0.060181,0.498657,567
12846814,10000,-1.090088,0.053223,0.485596,557
12856796,9982,-1.056030,0.049683,0.473022,559
12866810,10014,-0.995361,0.047241,0.444092,553
12876794,9984,-0.981323,0.044922,0.434692,554
12890494,13700,-0.989746,0.035156,0.424194,545
12896790,6296,-1.025635,0.026245,0.416626,537
12906841,10051,-1.078125,0.016235,0.410889,540
12916812,9971,-1.190430,0.055664,0.411133,535
12926798,9986,-1.227539,0.063477,0.404907,536
12936792,9994,-1.252441,0.054077,0.398315,534
12946810,10018,-1.274170,0.037720,0.394043,532
12956800,9990,-1.281860,0.025391,0.388428,532
12966790,9990,-1.287476,0.006226,0.388184,526
12978784,11994,-1.269043,-0.012573,0.391724,534
12986799,8015,-1.247192,-0.027222,0.393066,532
12996803,10004,-1.213013,-0.043457,0.387451,527
13006807,10004,-1.172607,-0.048462,0.380737,535
13016815,10008,-1.130249,-0.054443,0.370972,528
13026798,9983,-1.037354,-0.055908,0.340210,527
13036790,9992,-0.992187,-0.049683,0.322510,529
13046794,10004,-0.943726,-0.046997,0.304077,526
13056795,10001,-0.895752,-0.033936,0.287476,516
13066814,10019,-0.849609,-0.021362,0.272095,511
13076809,9995,-0.806396,-0.013916,0.255859,504
13087708,10899,-0.752563,-0.006958,0.243042,497
13096860,9152,-0.736084,-0.008545,0.233276,483
13106812,9952,-0.721069,-0.004761,0.221191,477
13116808,9996,-0.710571,0.000244,0.212280,480
13126806,9998,-0.699097,0.012939,0.206909,474
13136807,10001,-0.688721,0.041748,0.225342,471
13146807,10000,-0.695557,0.048950,0.240601,471
13156806,9999,-0.703613,0.054565,0.255981,472
13166790,9984,-0.713257,0.051514,0.267334,474
13176811,10021,-0.721191,0.041260,0.277710,476
13186790,9979,-0.730835,0.014038,0.289795,484
13196787,9997,-0.749756,-0.005249,0.290527,486
13206791,10004,-0.758057,-0.020386,0.289429,484
13216809,10018,-0.766113,-0.021606,0.286133,500
13226810,10001,-0.771362,-0.013550,0.276855,503
13236794,9984,-0.784546,-0.006958,0.270752,507
13246811,10017,-0.848999,-0.017944,0.275879,506
13256798,9987,-0.881714,-0.023682,0.281494,512
13266792,9994,-0.913086,-0.030762,0.288574,522
13276809,10017,-0.954712,-0.037720,0.299194,528
13290501,13692,-1.055298,-0.040039,0.338135,535
13296845,6344,0.000000,0.000000,0.000000,540
13306799,9954,-1.137451,-0.015015,0.382813,547
13316812,10013,-1.168579,0.002319,0.409302,555
13326790,9978,-1.197144,0.019165,0.443115,559
13336797,10007,-1.201538,0.038208,0.472046,562
13346816,10019,-1.183228,0.069336,0.502075,555
13356792,9976,-1.079102,0.133301,0.546509,562
13366806,10014,-1.024170,0.159302,0.555908,557
13376813,10007,-0.985718,0.162231,0.556519,560
13386795,9982,-0.975098,0.151611,0.543213,552
13396802,10007,-0.999634,0.136353,0.518921,552
13406796,9994,-1.099121,0.100342,0.480957,548
13416814,10018,-1.147339,0.104980,0.477417,548
13426802,9988,-1.188110,0.121216,0.484741,549
13436799,9997,-1.218384,0.128662,0.502441,546
13446806,10007,-1.237183,0.128052,0.531738,548
13456801,9995,-1.241089,0.122925,0.557007,548
13466789,9988,-1.222290,0.082886,0.588989,543
13476802,10013,-1.210571,0.076050,0.591064,550
13486792,9990,-1.196167,0.042236,0.583740,550
13496840,10048,-1.180664,0.018311,0.572998,547
13506798,9958,-1.159546,-0.010498,0.561401,542
13516808,10010,-1.082153,-0.047241,0.531250,546
13526809,10001,-1.013916,-0.086182,0.503540,541
13536789,9980,-0.944458,-0.115234,0.490967,540
13546796,10007,-0.889526,-0.112061,0.483032,533
13556815,10019,-0.842163,-0.081177,0.482788,526
13566799,9984,-0.792358,-0.018555,0.486328,519
13576802,10003,-0.730591,0.094116,0.489990,510
13586804,10002,-0.723389,0.129761,0.491333,498
13596806,10002,-0.717773,0.148804,0.489136,490
13606816,10010,-0.725586,0.161011,0.488647,475
13616795,9979,-0.734131,0.176636,0.479858,463
13626793,9998,-0.761963,0.170776,0.471558,453
13636817,10024,-0.776733,0.144531,0.468506,450
13646793,9976,-0.790771,0.114380,0.468628,448
13656801,10008,-0.803711,0.079834,0.471191,450
13666797,9996,-0.817749,0.050659,0.473877,464
13676851,10054,-0.828735,0.006470,0.483154,471
13686805,9954,-0.839111,-0.011963,0.490479,487
13696804,9999,-0.835449,-0.017456,0.494385,500
13706802,9998,-0.825562,-0.005737,0.499512,509
13716797,9995,-0.819336,0.029297,0.518555,513
13726810,10013,-0.830933,0.078491,0.548340,528
13736800,9990,-0.893677,0.149658,0.609375,540
13746802,10002,-0.918091,0.143433,0.629639,543
13756809,10007,-0.942383,0.122925,0.633911,550
13766793,9984,-0.982178,0.088501,0.629150,545
13776811,10018,-1.038330,0.065918,0.619873,555
13786807,9996,-1.143799,0.054687,0.574463,561
13796791,9984,-1.191406,0.051270,0.549072,564
13806791,10000,-1.241089,0.045288,0.521362,570
13816795,10004,-1.296875,0.040161,0.502075,573
13826807,10012,-1.332886,0.047485,0.495728,582
13836816,10009,-1.331299,0.064331,0.495850,586
13846807,9991,-1.223511,0.082397,0.484497,588
13856809,10002,-1.152710,0.069946,0.474976,589
13866827,10018,-1.095825,0.046753,0.456421,585
13876821,9994,-1.074707,0.021362,0.432617,578
13886806,9985,-1.097778,-0.001709,0.413696,575
13896792,9986,-1.233643,-0.032593,0.377075,561
13906796,10004,-1.295044,-0.033936,0.363770,561
13916802,10006,-1.342285,-0.023926,0.356689,557
13926792,9990,-1.366821,-0.000854,0.359009,550
13936797,10005,-1.364502,0.030029,0.375977,539
13946810,10013,-1.346191,0.053955,0.400635,538
13956799,9989,-1.262817,0.066772,0.439819,526
13966795,9996,-1.196533,0.060913,0.447266,519
13976814,10019,-1.133545,0.043335,0.438599,519
13986805,9991,-1.083374,0.027954,0.425293,504
13996800,9995,-1.042725,0.022461,0.404297,501
14006809,10009,-0.966797,0.024902,0.344849,497
14016810,10001,-0.932617,0.015625,0.313843,486
14026807,9997,-0.890991,0.004517,0.283447,483
14036799,9992,-0.841431,-0.009888,0.254517,480
14046799,10000,-0.791626,-0.020386,0.228638,477
14056787,9988,-0.743164,-0.033203,0.183716,472
14066831,10044,-0.664062,-0.052368,0.163452,468
14076800,9969,-0.643555,-0.050415,0.152466,461
14086815,10015,-0.632080,-0.037354,0.145996,454
14096796,9981,-0.622070,-0.008301,0.141846,457
14106814,10018,-0.623291,0.015259,0.152588,457
14116809,9995,-0.633911,0.051147,0.164795,455
14126802,9993,-0.639893,0.059692,0.172485,454
14136815,10013,-0.649414,0.057617,0.191162,453
14146792,9977,-0.663452,0.046997,0.205566,446
14156808,10016,-0.673584,0.030884,0.209106,443
14166803,9995,-0.682495,-0.014038,0.212280,448
14176816,10013,-0.691650,-0.028687,0.204468,449
14186804,9988,-0.696411,-0.033936,0.196045,447
14196795,9991,-0.700195,-0.032715,0.190674,448
14206789,9994,-0.703125,-0.019531,0.196045,451
14216799,10010,-0.710327,-0.002686,0.215332,450
14226796,9997,-0.777710,0.019409,0.264771,460
14236812,10016,-0.820435,0.027710,0.289673,462
14246806,9994,-0.867065,0.030762,0.310059,468
14256803,9997,-0.908203,0.026611,0.319336,473
14266799,9996,-0.949585,0.034302,0.338379,482
14276790,9991,-1.064331,0.041870,0.393677,489
14286791,10001,-1.129028,0.050293,0.426636,501
14296814,10023,-1.193726,0.072144,0.472046,518
14306791,9977,-1.253784,0.097168,0.524658,531
14316815,10024,-1.294189,0.145508,0.588257,556
14326804,9989,-1.309204,0.204224,0.646362,577
14336811,10007,-1.264526,0.295410,0.700439,591
14346808,9997,-1.238892,0.301514,0.712524,605
14356814,10006,-1.237061,0.272949,0.712158,609
14366797,9983,-1.263672,0.205078,0.701294,611
14376802,10005,-1.300781,0.123779,0.681885,612
14386796,9994,-1.343750,-0.009644,0.633545,614
14396791,9995,-1.346191,-0.059692,0.623901,611
14406795,10004,-1.335938,-0.074097,0.625244,612
